_step,training/rollout_probs_diff_max,training/rollout_probs_diff_min,training/vllm_kl,val-core/openai/gsm8k/reward/mean@1
10,0.9985716342926024,-0.9050513505935668,0.038516584783792496,0.07202426080363912
20,0.9840008616447448,-0.8820309042930603,0.03929678723216057,0.3684609552691433
30,0.9201878905296326,-0.8794813752174377,0.03184490650892258,0.4382107657316149
40,0.937290906906128,-0.8452863693237305,0.02598465047776699,0.44655041698256254
50,0.9925869703292848,-0.8661718368530273,0.02729354426264763,0.4791508718726308
60,0.9986600279808044,-0.9510058164596558,0.04033640027046203,0.4821834723275209
70,0.9825704097747804,-0.8394075036048889,0.022220684215426445,0.5185746777862017
80,0.9944207072257996,-0.913514256477356,0.01988184079527855,0.49052312357846856
90,0.993471086025238,-0.9164190888404846,0.027530517429113388,0.5087187263078089
100,0.9833369851112366,-0.8924477696418762,0.02513674646615982,0.4821834723275209
110,0.981787919998169,-0.9550784826278688,0.028571266680955887,0.43896891584533737
120,0.9930808544158936,-0.9021800756454468,0.025202777236700055,0.46474601971190294
130,0.995625913143158,-0.8925720453262329,0.024767249822616577,0.4670204700530705
140,0.994310736656189,-0.9204171299934388,0.021731887012720108,0.4783927217589083
150,0.99325293302536,-0.9414364695549012,0.022245872765779495,0.46474601971190294
160,0.9879795908927916,-0.9054458737373352,0.024960126727819443,0.4806671721000758
170,0.9929725527763368,-0.8982656598091125,0.022297412157058716,0.4586808188021228
180,0.9980108737945556,-0.9560298323631288,0.02603172138333321,0.4359363153904473
190,0.9987725615501404,-0.94359290599823,0.024331258609890934,0.46853677028051555
200,0.9998797178268432,-0.9122344255447388,0.022666657343506813,0.5087187263078089
210,0.996760368347168,-0.9006639719009399,0.021054962649941444,0.4920394238059136
220,0.9969061017036438,-0.9403467178344728,0.020581649616360664,0.4935557240333586
230,0.998342514038086,-0.9173749089241028,0.02464824914932251,0.489764973464746
240,0.9998496770858764,-0.973128616809845,0.02472718246281147,0.4836997725549659
250,0.9999823570251464,-0.9415468573570251,0.029731079936027527,0.4973464746019712
260,0.9999338388442992,-0.9688202142715454,0.02860315516591072,0.4723275208491281
270,0.999893307685852,-0.979669749736786,0.028647001832723618,0.46019711902956784
280,0.9996621608734132,-0.923543095588684,0.02198825031518936,0.4715693707354056
290,0.999257266521454,-0.9441824555397034,0.021737031638622284,0.5094768764215315
300,0.9997786283493042,-0.9124094247817992,0.025744501501321793,0.488248673237301
310,0.9981931447982788,-0.909677267074585,0.027563419193029404,0.5011372251705838
320,0.9999474883079528,-0.9516828060150146,0.032685935497283936,0.48673237300985595
330,0.9999997615814208,-0.932435154914856,0.03146474063396454,0.4564063684609553
340,0.999445617198944,-0.9728422164916992,0.025947963818907738,0.4814253222137984
350,0.999987006187439,-0.9698686599731444,0.04489988461136818,0.4692949203942381
360,0.9999310970306396,-0.952849268913269,0.02276814542710781,0.466262319939348
370,0.9995675683021544,-0.9536538124084472,0.024227943271398544,0.49583017437452614
380,0.99990713596344,-0.971568524837494,0.02296839095652103,0.4973464746019712
390,0.9999680519104004,-0.968806266784668,0.032613031566143036,0.5109931766489765
400,0.9999998807907104,-0.954096794128418,0.03268452361226082,0.4844579226686884
410,0.9999995231628418,-0.935824990272522,0.03750323876738548,0.5003790750568613
420,0.9990867376327516,-0.949151575565338,0.05590842664241791,0.4844579226686884
430,1.0,-0.9563406109809875,0.053009312599897385,0.511751326762699
435,0.9999956488609314,-0.9061396718025208,0.044524237513542175,0.489764973464746
