_step,training/rollout_probs_diff_max,training/rollout_probs_diff_min,training/vllm_kl,val-core/openai/gsm8k/reward/mean@1
10,0.7995501160621643,-0.7871294617652893,0.022691888734698296,0.1281273692191054
20,0.9855961799621582,-0.8841607570648193,0.040679268538951874,0.4495830174374526
30,0.9934951066970824,-0.8742060661315918,0.02698640152812004,0.4526156178923426
40,0.987029492855072,-0.8887954354286194,0.02346106804907322,0.47308567096285065
50,0.9984833002090454,-0.8542331457138062,0.01943267323076725,0.4821834723275209
60,0.9849128127098083,-0.8938961625099182,0.0205087848007679,0.4844579226686884
70,0.9941272735595704,-0.909799873828888,0.02314533106982708,0.4988627748294162
80,0.9995583891868592,-0.8991669416427612,0.02135513350367546,0.4988627748294162
90,0.9996891021728516,-0.9716014862060548,0.0249249879270792,0.510235026535254
100,0.9833008646965028,-0.9349247813224792,0.02546764723956585,0.49583017437452614
110,0.9888280630111694,-0.8740875124931335,0.026291899383068085,0.5011372251705838
120,0.9938843250274658,-0.9044064283370972,0.02436818927526474,0.49507202426080366
130,0.9953673481941224,-0.974839687347412,0.023596476763486866,0.5018953752843063
140,0.9964468479156494,-0.9604865908622742,0.029860306531190872,0.5011372251705838
150,0.9999808073043824,-0.9473543763160706,0.03529798611998558,0.5034116755117514
160,0.9960156679153442,-0.9227649569511414,0.03055233508348465,0.5231235784685367
170,0.9970546960830688,-0.8851029276847839,0.042339518666267395,0.4973464746019712
180,0.9986487030982972,-0.8975143432617188,0.04669021815061569,0.5041698256254739
190,0.9991488456726074,-0.9529237747192384,0.047375135123729706,0.4988627748294162
200,0.9968162775039672,-0.9709231853485109,0.038698356598615646,0.5193328278999242
210,0.997453272342682,-0.9569973349571228,0.02688117139041424,0.5155420773313116
220,0.9933798909187316,-0.8784509897232056,0.028428122401237488,0.5216072782410918
230,0.9987897276878356,-0.8634099364280701,0.02861955761909485,0.5170583775587566
240,0.9968691468238832,-0.9392467737197876,0.04092642292380333,0.5064442759666414
250,0.999919891357422,-0.9395313262939452,0.041082963347435,0.5193328278999242
260,0.9967197179794312,-0.8442180752754211,0.04179813712835312,0.5109931766489765
270,0.9989593625068665,-0.8594523072242737,0.04863997548818588,0.530705079605762
280,0.997148334980011,-0.9657301902770996,0.04527880996465683,0.5405610310841547
290,0.9991716146469116,-0.9046331644058228,0.04903944209218025,0.5094768764215315
300,0.9994091391563416,-0.950254201889038,0.048314183950424194,0.5314632297194845
310,0.9986271262168884,-0.9802338480949402,0.06248168647289276,0.5094768764215315
320,0.997527241706848,-0.896070659160614,0.05934727191925049,0.49583017437452614
330,0.9992833137512208,-0.9045864343643188,0.06534672528505325,0.510235026535254
340,0.9996131658554076,-0.910319685935974,0.05268777906894684,0.489764973464746
350,0.999855637550354,-0.9630996584892272,0.0536225400865078,0.5087187263078089
360,0.9995340704917908,-0.8938781023025513,0.048438843339681625,0.510235026535254
370,0.9979444146156312,-0.8596023321151733,0.05277647450566292,0.5185746777862017
380,0.9999698400497437,-0.9242867827415466,0.06030374765396118,0.511751326762699
390,0.9989064931869508,-0.97327983379364,0.05512331798672676,0.5049279757391963
400,0.999897301197052,-0.9514933228492736,0.07190641015768051,0.5087187263078089
410,0.9995296597480774,-0.9704248309135436,0.05411457270383835,0.5223654283548143
420,0.999942660331726,-0.942420780658722,0.06524229049682617,0.5026535253980288
430,0.9998562335968018,-0.9232579469680786,0.06284183263778687,0.5087187263078089
435,0.9992640614509584,-0.9174504280090332,0.06604086607694626,0.4981046247156937
